Year,Month,Forest,State,Cause,Area_Burned_km2
2000,1,Satpura Range,Madhya Pradesh,Anthropogenic,0.9
2000,2,Bandipur Tiger Reserve,Karnataka,Anthropogenic,17.54
2000,3,Gir National Park,Gujarat,Anthropogenic,150.71
2000,4,Satpura Range,Madhya Pradesh,Anthropogenic,47.73
2000,5,Sundarbans,West Bengal,Anthropogenic,24.17
2000,6,Himachal Forests,Himachal Pradesh,Anthropogenic,188.86
2000,7,Kaziranga National Park,Assam,Anthropogenic,145.16
2000,8,Himachal Forests,Himachal Pradesh,Anthropogenic,59.37
2000,9,Sundarbans,West Bengal,Anthropogenic,118.42
2000,10,Sundarbans,West Bengal,Anthropogenic,143.98
2000,11,Bandipur Tiger Reserve,Karnataka,Anthropogenic,17.7
2000,12,Satpura Range,Madhya Pradesh,Anthropogenic,56.3
2001,1,Sundarbans,West Bengal,Natural,46.24
2001,2,Kaziranga National Park,Assam,Anthropogenic,154.18
2001,3,Nagaland Forests,Nagaland,Anthropogenic,148.56
2001,4,Sundarbans,West Bengal,Anthropogenic,173.54
2001,5,Nagaland Forests,Nagaland,Anthropogenic,47.14
2001,6,Gir National Park,Gujarat,Anthropogenic,114.44
2001,7,Himachal Forests,Himachal Pradesh,Anthropogenic,29.22
2001,8,Simlipal National Park,Odisha,Natural,7.58
2001,9,Bandipur Tiger Reserve,Karnataka,Anthropogenic,147.11
2001,10,Uttarakhand Forests,Uttarakhand,Anthropogenic,109.8
2001,11,Gir National Park,Gujarat,Anthropogenic,46.99
2001,12,Periyar Tiger Reserve,Kerala,Anthropogenic,157.8
2002,1,Satpura Range,Madhya Pradesh,Anthropogenic,99.24
2002,2,Simlipal National Park,Odisha,Anthropogenic,86.1
2002,3,Nagaland Forests,Nagaland,Anthropogenic,60.29
2002,4,Simlipal National Park,Odisha,Anthropogenic,88.08
2002,5,Bandipur Tiger Reserve,Karnataka,Anthropogenic,1.96
2002,6,Simlipal National Park,Odisha,Anthropogenic,52.85
2002,7,Kaziranga National Park,Assam,Anthropogenic,57.06
2002,8,Himachal Forests,Himachal Pradesh,Anthropogenic,11.67
2002,9,Himachal Forests,Himachal Pradesh,Anthropogenic,96.0
2002,10,Simlipal National Park,Odisha,Anthropogenic,150.38
2002,11,Periyar Tiger Reserve,Kerala,Anthropogenic,161.58
2002,12,Satpura Range,Madhya Pradesh,Anthropogenic,89.77
2003,1,Sundarbans,West Bengal,Anthropogenic,49.78
2003,2,Kaziranga National Park,Assam,Anthropogenic,147.54
2003,3,Periyar Tiger Reserve,Kerala,Anthropogenic,99.97
2003,4,Bandipur Tiger Reserve,Karnataka,Anthropogenic,125.97
2003,5,Periyar Tiger Reserve,Kerala,Anthropogenic,78.79
2003,6,Bandipur Tiger Reserve,Karnataka,Anthropogenic,117.84
2003,7,Sundarbans,West Bengal,Anthropogenic,137.52
2003,8,Nagaland Forests,Nagaland,Anthropogenic,128.98
2003,9,Kaziranga National Park,Assam,Anthropogenic,83.57
2003,10,Bandipur Tiger Reserve,Karnataka,Anthropogenic,57.26
2003,11,Nagaland Forests,Nagaland,Anthropogenic,188.69
2003,12,Kaziranga National Park,Assam,Anthropogenic,50.56
2004,1,Uttarakhand Forests,Uttarakhand,Anthropogenic,79.23
2004,2,Gir National Park,Gujarat,Anthropogenic,111.15
